message, target,new_label
or your noob ,1,neutral
fucking monkeys in team,2,banter
send to gof,0,neutral
how is everyone doing    ,0,neutral
pls wait,0,neutral
who,0,neutral
i mean no,0,neutral
why u use chat ,0,banter
offlane feeders and abusers,0,neutral
we want to play fair,0,neutral
can you fuck off ,1,banter
green is talking shit yall,1,banter
see the difference in my and jug lvl n farms,0,neutral
we have noob drow and pudge,2,banter
worst subhuman,0,banter
o home he imortal,0,neutral
world full of gays,2,banter
help us report this trash fuck pa,2,banter
try hard moron marci,2,banter
ina mall ,2,neutral
gg close game,0,neutral
horribl,0,neutral
than ua re gay,2,banter
where is lina ,0,neutral
when ur carry sucks y lose,1,banter
i bet you bought that as divine and now legend,0,neutral
not reporting am,0,neutral
ur mom ugly bitch,2,banter
wtf is that jump,1,banter
sorrey my contempt for the stupid fucking cunt am got in the way,2,banter
feed too much,0,neutral
was playing with my tongue noobkid,1,banter
just end this,0,neutral
go finish  noob team ,1,neutral
fucking clutch,1,banter
i hope you think about this xd,0,neutral
how long before out of legend,0,neutral
why dont u just send your mom instead of vitamin b,2,banter
rofl,0,neutral
imagine playing    k games but still plays like that,0,banter
mid go they cant def,0,neutral
u was rape pos   bro,1,toxic
i prefer abuse but doing shit then this dusa,1,banter
dont know,0,neutral
wtf how come od legend vs me cruseder wtf,1,neutral
fucking ti players in legend,1,banter
wr leave the game    make your team stronger you rretard,2,banter
wtf rs,1,banter
the good old mom card when you suck so hard you have to use it,0,toxic
every   minutes,0,neutral
idiot earthshaker bot,2,banter
why man  p,0,neutral
you are mouse and noob,2,banter
such a shit ember spirit as well,2,banter
hey clown look top,2,banter
party with uzbek or ruin,0,neutral
death and woe to all ruzzians,0,neutral
sorrty,0,neutral
typical,0,neutral
cue benny hill music,0,neutral
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,neutral
go fuck off,1,banter
funny thing,0,neutral
report warlock,0,neutral
it should say safe to leave,0,neutral
your mums pretty easy,2,banter
f off virgin,2,toxic
u cant even stun a player haha,2,banter
i jsut said my first game is nice game,0,neutral
push mid clown,2,banter
nah actually fuck undying,1,banter
that bad ,0,neutral
yes ur whole family all trash lsoer,2,toxic
can you faggots stop pausing,2,toxic
ember son of a whore,0,toxic
catch me,0,neutral
for what tard,1,banter
nah  you do suck though,2,banter
perfect hes a pleb,2,banter
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,banter
and   of ur core players,0,neutral
imagine calling others moron,1,banter
pos   pls thanks english team if possible,0,neutral
try hard ,0,neutral
they just too bad,0,banter
nice english retard,1,toxic
this dog tip me ,2,neutral
thanks for spitting facts whitemon   ,0,neutral
the fuck u trying to do ,1,banter
how low this fucking game is man even if we afk,1,banter
reason,0,neutral
fuck off,1,banter
cause our clintz and am are fucking dogs,2,banter
holy shit,1,banter
your mom has nice jugs,2,banter
imagine your carrying this mf,1,banter
trash coore,2,banter
gg can throne,0,neutral
of course,0,neutral
with me fucking ofc,1,banter
you re not going anywhere,0,neutral
shoudnt,0,neutral
gotta have some public decency,0,neutral
i breastfed from your mom,2,toxic
and it wasnt even u moron marci,2,banter
can we end ,0,neutral
i bet ur face is ugly pa,2,banter
what a retrard ,2,toxic
 you talk a lot of shit for someone who hasnt won   ,1,banter
fucking techies,1,banter
two aghs,0,neutral
im so fucking trash,1,banter
fear my dick,1,banter
  pos and  pos buy it,0,neutral
put a period so you don t use bad word  cunt,2,banter
now i m gonna ask you who do you think is the acc buyer  ,0,neutral
yesss ur mom is animal,2,banter
the stupid penis lover ursa,2,banter
my team is just pro,0,neutral
fuck putin,1,banter
really   ,0,neutral
i ll have to check w  your mom first,2,banter
cumshot,1,banter
stupid team,2,banter
who is the best support ,0,neutral
how much pidaras i am from   to      ,0,neutral
we dont even have a carry and you still suck shit,2,banter
back,0,neutral
beast,0,neutral
tem uma drow um juggernaut,0,neutral
u are the shameless shit,2,banter
so fucking trash offlane,2,banter
son of whore,2,toxic
leave fuck noobs,1,banter
lol ns doesnt leave top for    minutes ,0,neutral
especially wr,0,neutral
what a fuckjing,1,banter
look at these imbeciles forgetting about serpent wards lol,1,banter
fuck off necro,1,banter
holy shit you re outskilled so hard,1,banter
too ez undying dog,2,neutral
everyone,0,neutral
think of all i ve done for you,0,neutral
hey noob anthony,2,banter
after this game you will have less mmr than me trash,1,banter
why,0,neutral
we wanna be toxic to win,0,banter
and i will still be above you ,0,neutral
farm creeps,0,neutral
fuckk offff man,1,banter
what the fuck i wanna play ,1,banter
please hold,0,neutral
this stupid bull head waits for his teammates to die every time when he hurts ,1,banter
holy shit,1,banter
its great russian language moron,2,banter
why wtf,1,banter
is this lp,0,neutral
u suck pinga with cheese,0,banter
keep trash out of dota,1,banter
like the oracle,0,banter
this stupid,1,neutral
why is magnus mid and sf on offlane,0,neutral
ur not the reason im dead thoug,0,banter
puhyssy assssss d shadow blade,1,banter
doesn t change the fact half those hits are wasted and no about of unranked posturing will change the fct you re a huge closeted fa   ot that enjoys bbc and dogsht ugly girls,2,toxic
ty for waiting fags,1,toxic
where is it retard ,2,toxic
did ur pussy leak or what ,1,banter
what a shit team,1,banter
gettin this occasion to get somethin to drink  do the same bois,0,neutral
how long have you been a huge fa   ot,2,toxic
  reports clinkz,0,neutral
oh hes raped on top,2,banter
that ur a son of whore,2,toxic
good silence,0,neutral
im getting free mmr why would i be angry ,0,neutral
as retarded as centaur,1,toxic
od players,0,neutral
were talking so much shit,1,banter
too bad yr mouse dick kinda cute n short,1,banter
report mother fucker useles axe,2,banter
finally,0,neutral
its fine bro,0,neutral
put some pants on antimage,0,neutral
little neckbeard,0,banter
go kill the dog,1,banter
wheres bat huskar wtf,1,banter
 idonthave,0,neutral
imagine saying my tinker noob but still scaed of my tinker and pick early hahahahahahahahah,1,banter
this game is a waste of time this mk sucks,2,banter
toronto and me,0,neutral
did you get the gcash ,0,neutral
fucking trash,2,banter
youre a sniper    ,0,neutral
into typing,0,neutral
with my best friend,0,neutral
white boy,1,banter
pure idiots are playing this game,2,banter
wr watching naga and me getting fuck on pornhub,2,banter
throne it,0,neutral
undying was hype af,0,neutral
wr who to blame now ,0,neutral
fxck you too,2,banter
i hate black people,2,toxic
told u about handicap,0,neutral
wtf is this,1,banter
never denied being a piece of shit ,1,banter
its only like    mmr or   ,0,neutral
probably tastes good,0,neutral
for sure,0,neutral
this is pritty gay,1,banter
something,0,neutral
  good played  well game,0,neutral
with ur stupid gameplay,1,banter
let s fight with tide ulti only,0,neutral
he take    hit on towers,0,neutral
thats lc all game,0,neutral
doesn t explain how you are dogshit outside of mid,2,banter
pussy bitch ,2,banter
omnislash this nuts,0,banter
maybe a   for   soon,0,banter
what imbecil,1,banter
whitemon waiting for ur new songs with aki   ,0,neutral
lol this guy is mentely damaged,0,banter
let him play and waste his time,0,neutral
thanks,0,neutral
ez bear tho,0,neutral
fuckign hell mate,1,banter
trio trash player,2,banter
for rough sex,2,banter
what a joke,0,neutral
typical woman gamer,0,banter
please report jakiro,0,neutral
his computer shitting itself,2,banter
report team pelase,0,neutral
i used to love sand king when he sucked,0,neutral
gl to new player invok,0,neutral
waht wind ,0,neutral
said the useless mid,2,banter
yeah why ,0,neutral
fuck this game,1,banter
hc eeuu shit player taco,2,banter
cumbackkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1,neutral
whos a pussy,1,banter
this close to breaking my items   ,0,neutral
only cores,0,neutral
bobo edition,1,neutral
and   retarded arab,2,toxic
blue is a fucking moron,2,banter
idk how u dont pause for ur mid for    second,0,banter
wtf was this game,1,banter
let this boringgame end you morons,2,banter
i need to go,0,neutral
bot and top too shit,2,banter
my team is trash,2,banter
walking around lc,0,neutral
u trash sup ind g ,2,banter
also dw team with this dog,2,neutral
this puck play lina so bad ,0,banter
pa why,0,neutral
its tough,0,neutral
this s pid dog jug,2,neutral
riki i fk ur sister,2,toxic
ty for that,0,neutral
time to fondle ur balls,2,banter
i want more of that ass,0,banter
son of pigs,2,banter
you are such a loser brad,2,banter
he is so noob,2,banter
you shouldnt focus me,0,neutral
if youre kigs procreate with white race     times you wil still be yellow piece of shit chiense trash,2,toxic
thee ol bullshit switch ah roo,1,banter
stomping aint sweating bruh,0,neutral
because we are not autistic like u,2,banter
if u think sniper is a newbie,0,banter
i dont care if u have to shit,1,banter
these games are so fucking bad,1,banter
nice picks sniper,0,neutral
oh crap ,0,neutral
mrbeast giveaway,0,neutral
cope and seethe,0,neutral
playing wr vs retards,2,toxic
we will never know,0,neutral
hey neo,0,neutral
wtf was that blink valve ,1,banter
it was a tasty horse,0,neutral
his mmr maybe    ,0,neutral
they playin,0,neutral
ty idiot,1,neutral
sorry no russian,0,neutral
  range hero,0,neutral
and  half ur base gone,0,neutral
report timber,0,neutral
our support just feed for last    min,0,neutral
fuck this dk,2,banter
take it easy trash,2,banter
all gank top for carry then carry useless ,2,neutral
ur doing great,0,neutral
trash median this is,2,banter
being virgin   fucking ugly bitches,2,banter
tipping in double score  game,0,neutral
gg  ss and furion feeding,0,neutral
are uguys for real,0,neutral
what ar etard,2,toxic
party with raving,0,neutral
if only silencer wasnt a pussy,1,banter
carry weak,0,neutral
tip me,0,neutral
ty guys   ,0,neutral
piece of dog,2,neutral
report to avoid this example piece of shitt,1,banter
 nto the game,0,neutral
u r really wasting that shitty laning pahse,1,banter
forgive your team then ,0,neutral
gave youf arm,0,neutral
total noob without huskar,1,neutral
what else,0,neutral
useless cores,2,neutral
beg whore,2,banter
our sup throw it and we have no mid,0,neutral
i guess you gotta voice line when thats all you got going for ya,0,banter
not watch u cry and bitch,1,banter
puck good player,0,neutral
when luck becomes a lifeestyle its called skill ,0,neutral
its not even fair,0,neutral
word of advice,0,neutral
the worst player here is u,0,banter
are u shaikng heaed now sven,0,neutral
sry this fucking clown talking all chat,2,banter
fuck yes they are,1,banter
sry didnt mean to tip,0,neutral
high mmr is supporting ,0,neutral
son of whore,2,banter
u call me a faggot,1,toxic
whats wrong with him ,0,neutral
i was admiring it when you dickwads rudely interrupted,2,banter
make the community better,0,neutral
i trying my best to sup them but seem like i m the only fool,0,neutral
too busy being in my mum to play dota i guess,2,banter
idiot tecis,2,banter
go end please,0,neutral
helloooo end clownada ety,0,neutral
you relate to losers,2,banter
now afk retard,1,toxic
we were winning top when he left,0,neutral
snap be like oh a new day to ruin   peaple game,0,neutral
rep this bitch,2,banter
come on me ,0,banter
sounds like he should abandon,0,neutral
toxic and noob,1,banter
fcking idiot team,2,banter
ohj the fag hag is here,2,toxic
he break items,0,neutral
assholes,2,banter
im sorry i smacked you ,0,banter
i want your ass,1,banter
all that talk,0,neutral
i came in   v   and raped u remember,2,banter
tell that to zai,0,neutral
the only reality is that u are toxic stupid little kid whos mother is getting fucked daily,2,toxic
free to end,0,neutral
what hapenning,0,neutral
no senc this game,0,neutral
that hook,0,neutral
  feeded by   noobs,2,neutral
wtf that creep,1,banter
youre trash,2,banter
gg thanks for ez top lane,0,neutral
china balong ingles friends,2,banter
are such fucking pussies,2,banter
learning mechanick,0,neutral
all because zamuel didnt want to support  trash ,1,banter
my   pos is trash,2,neutral
he didn t use chrono,0,neutral
show me ur ass,2,banter
and still trashtalk here,0,neutral
this qop,0,neutral
nah prefer to avoid u so i can keep getting free mmr,0,neutral
wind and  sky ,0,neutral
u think im dumb,1,neutral
nope,0,neutral
you should give fuck about russia losing in ukraine ,1,banter
this noob,1,neutral
bot easy ,0,neutral
that sounds like a blue hair disease,0,banter
it cheap,0,neutral
typical trash mid,2,banter
but with meteor,0,neutral
why no pick me bmk ,0,neutral
silencer and wr are shit,2,banter
pussy b tch,2,banter
ta threw the game  gg,0,neutral
u are idiot estern p iece of shit vodka,2,banter
i pause with my peni  in yo mama,2,banter
sucks that lion raged,0,neutral
report that noob,2,banter
fucking idiopt,2,banter
i didn t see the clock boy,0,neutral
how fun it is to play that hero,0,neutral
u guys kept on manning up and chasing doom,0,neutral
congrats you can press   button barely after   people get your ass there after shitting the bed,2,banter
throne,0,neutral
free to end,0,neutral
offlane noob,2,neutral
son of whore,2,toxic
he plays,0,neutral
u son of whore,2,toxic
 ls time to play mid,0,neutral
and buy rope,0,neutral
always astral his mum,2,banter
what is bkb ,0,neutral
you low rank you complain a newplayer sniper for,0,neutral
what     ,0,neutral
cant play with bastards,1,banter
retarded qop,2,toxic
easy,0,neutral
my brain is shrinking,0,neutral
support with hitter item,0,neutral
by my team,0,neutral
hard to hf with pl pickers    ,0,neutral
holy rape,1,banter
go back and get   more hours of sleep,0,neutral
this dogs   ,2,neutral
and you suck ass son,2,banter
can u teach me how to be commedy man too  ,0,neutral
bm really fucked up dieing bot,1,banter
good luck have sex ,1,banter
cought me on a fast typoig ,0,neutral
 v  but cant end wtf ,1,banter
only thing i m pissed about is sniper ebing a dick,1,banter
marci the moron they call her,2,neutral
you done that manta zeus shit yet ,1,banter
my team are retarded,2,toxic
sb boots grenade buybacks min    cuz he tilted,0,banter
the master baiter,1,banter
ez the fk ,1,neutral
nobovy wants to play this out,0,banter
easy,0,neutral
doing  tho,0,neutral
tf is this visage hero lol,0,neutral
cringe,0,neutral
stop pls storm,0,neutral
thefuc,1,banter
feed mid go next fast,0,neutral
i m the mc here ,0,neutral
gg out pls,0,neutral
you should see this bicthass team,1,banter
he is fking nobo,2,banter
lol this pa lol,0,neutral
we are so dumb,1,neutral
or not ,0,neutral
im planning to sell them ,0,neutral
hahah been there,0,neutral
this bich hit me with mail,0,banter
that ball for me  ,0,neutral
go throne,0,neutral
pls win,0,neutral
why play like such pussys when your so far ahead,1,banter
trash hooker cant win,2,banter
tits is tis,1,banter
my cores are jerking off i guess,2,banter
this is over,0,neutral
sucker,2,neutral
can u end oger now plz,0,neutral
the shit ,1,banter
i eat ur fake mmr,2,neutral
bcs he is rtard,2,toxic
the faster we can get out of this game,0,neutral
ure the only idiot here,2,banter
talk cock ,2,banter
nice hacks  why are you all there  that map hacker tell you to all go there ,0,neutral
can u believe this dog ,2,neutral
stupid england dont know what is said   ,2,banter
 ok we not afk,0,neutral
who can carry,0,neutral
wanna get in somrthing ,0,neutral
aw shit,1,neutral
it s ok we re both playing broken bullshit heroes,1,banter
dome ass has no bkb or linken vs fucing bs,1,banter
your mom still available tonight ,2,banter
 then fucking afk xd,1,banter
stop walking into my spells,0,neutral
penis monkey low key,1,banter
go fuck yourself hopefull,2,banter
slark your team oob,2,neutral
btw if i have to play with you ds and clinkz im gonna feed you for being a retarded fuck,2,toxic
wrong person my b,0,neutral
i am literally the dumbest motehrfucker alive,1,banter
wtf is that heal,1,banter
f that guy,0,banter
    high rank low brain,2,banter
grow some real skill and some real heros od,0,neutral
why not,0,neutral
nah thats your luck mother fk,1,banter
heart for what ,0,neutral
you fucking trash,2,banter
pudge no longer factor in this game,0,neutral
clown sf,2,neutral
morning dotes,0,neutral
we have stupid bear,2,neutral
your state is fucking useless,2,banter
who is feeding ,0,neutral
two idiots leaving kills now,2,neutral
what do u expect from a pudge player,0,neutral
how useful the dumb support is,1,banter
they cry,0,neutral
yal are dicks  why not just end ,1,banter
fuck yeah fuck the econnomy,1,banter
was that a triple crit,0,neutral
how much you guys pay dark seer ,0,neutral
im dangerous as fuck,1,banter
trolling,0,neutral
gg bots,0,neutral
u farmed so fast,0,neutral
who took all the words     ,0,neutral
its aight,0,neutral
come bitches,2,banter
he lost too much ,0,neutral
nice ult and bkbs fucker,2,banter
wtf bh like that,1,banter
idiot team,2,neutral
ass fucking sniper,2,banter
tf was that feed,1,banter
u the boss,0,neutral
agaainst u clown,2,neutral
fuck putin,1,banter
p ece of shit,1,banter
ya hes owning,0,neutral
fcuk this mars mother,2,banter
fucking pleb,2,banter
dogshit check,1,banter
ban jakiro   scared of  k mmr pos  ,0,neutral
qops just trying to make me feel better about my ice blasts ok,0,neutral
bb was waste why you throwing,0,neutral
we didnt say anythign about tips what,0,neutral
calm down ,0,neutral
give me ply timber ok ,0,neutral
party with uzbek or ruin,0,neutral
ur mom still available ,2,banter
don t think he said anything at all,0,neutral
hes a pussy,2,banter
whore,2,toxic
i can do shit at late game,1,banter
finish teh gfucking game,1,banter
we dont talk with animal,2,neutral
free game,0,neutral
throne,0,neutral
hes in our top jungle now just going for jackoff afk,0,banter
look at me go,0,neutral
can out   ,0,neutral
talk alot of truths,0,banter
when he doesn t know how to support lol,0,neutral
and he still aint do it,0,banter
off and this mid,0,neutral
that might be gg,0,neutral
 what are you waiting for  kill mmeeeee ,0,neutral
fuck this firebird im with,1,banter
throne it,0,neutral
ending the game ,0,neutral
my team are pussy,2,banter
who are u idiots,2,banter
how u to bee ind g  ,2,neutral
ez team huh storm  sadge ,0,neutral
ill take some of those stiches,0,neutral
why me with pa idiot,2,banter
i m bleeding from a huge gash,0,neutral
we have noob team,2,neutral
you aint tearing shite apart,1,banter
cllowns,0,neutral
need more practice,0,neutral
piss is store in the girl balls,1,banter
can u end mid with metores,0,neutral
youre lucky our drow has downsyndrome,2,banter
these guys were ass,2,banter
its ok boys,0,neutral
sniper poor have a bad net,0,neutral
morons,1,banter
its ok pudge,0,neutral
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,banter
maybe that will work,0,neutral
gl whoever has him in his team,0,neutral
dog shit team again,2,banter
gj team commend for all,0,neutral
he coming,0,neutral
fucking sucks,1,banter
just stay base bastards,2,banter
i lost    games won  ,0,neutral
are femboys gay   ,2,banter
finally axe did it,0,neutral
 noob techies,2,neutral
this,0,neutral
trash necro,2,neutral
fking cunt,2,banter
ur moms butthole last night,2,banter
cheating brownskinned piece of filkth,1,banter
fuck me may aswell go unpack the dishwasher ,1,banter
if u pick lifestealer in turbo,0,neutral
fukcing hel,1,banter
was it worth,0,neutral
   deaths,0,neutral
shame i have to listen to dog,2,neutral
fucking hell ,1,banter
for   man echo,0,neutral
and supor are trash,2,neutral
my boy is fed as fuck,1,banter
why won t u wait ,0,neutral
fucking lane creep ruining my health,1,banter
but sniper always gets fucked by sd,1,banter
fck this game,1,banter
trying to win ti bro ,0,neutral
literally,0,neutral
why he still in mid,0,neutral
should be the one playing on his real rank,0,neutral
fucking motha fucka indian,1,toxic
rs first,0,neutral
fckng toxic carry,1,banter
try ur best,0,neutral
what a loser,2,banter
sorry in advance ,0,neutral
who this gay,2,banter
i don t give a fuck,1,banter
would u play     yamsum,0,neutral
useless carry,2,banter
play like fk dog scare the sh i,2,banter
that s what friends are for,0,neutral
i just died to fire that doesnt move,0,neutral
only adjust for ti players,0,neutral
this team is all retarded,2,toxic
retarded shits,2,toxic
he is gay,2,banter
how spirit fuck all your teams,1,banter
teamo,0,neutral
you missed out on a goodnight kiss lmao what a loser,2,banter
less toxic,0,neutral
report burrudge,0,neutral
haha shit slark ,2,banter
fuck off from my team,1,banter
then somehow,0,neutral
cmnd ember,0,neutral
try not to suck this time qop,0,banter
then you end,0,neutral
this   faking core with stupid item build,2,banter
fcking thor,1,banter
you are the one whos crying,0,neutral
i wont be with,0,neutral
then noob,1,neutral
imagine that,0,neutral
report clinkz,0,neutral
fucking lowrank,1,banter
holy based its ccnc,0,neutral
and we can,0,neutral
his parents were actual persian cousins that were already the product of some very fucking serious incest,2,toxic
you tennis fuck,2,banter
why you ban ember,0,neutral
what is this ban,0,neutral
stack reports on dusa ,0,neutral
crazy,0,neutral
i love how they were talking shit to me at pick phase,1,banter
  cary ,0,neutral
oh ya the ol typical blame teammate for dying bullshit,1,banter
can you see that im doom,0,neutral
comeback,0,neutral
he cry ,0,neutral
report od,0,neutral
boring,0,neutral
obviously  the idiot tank died first,2,neutral
not carry idioat,1,neutral
thx for wait,0,neutral
please aim io,0,neutral
that s all am can do ,0,neutral
you need loving,0,neutral
she might be in ur next game,0,neutral
she did doggy style last night,2,banter
fuckin hope not,1,banter
please,0,neutral
pl is shit,2,banter
naga    go eat a bag of dicks,2,banter
told u about this build le,0,neutral
that s all i can say,0,neutral
give us a min if possible but its jus a game   holy shit nuggets,1,banter
hey legion,0,neutral
we pushed this series back    mins jsut for you to be able to paly,0,neutral
lo west race of earth,2,toxic
the pussy ds pick  d ,2,banter
fuck jhames,2,banter
have you read the stormlight archive ,0,neutral
third world huh  ,0,neutral
trash team,2,neutral
fuck off idio,2,banter
fucking cucks,2,banter
shut your mouth jabroni,1,neutral
so fucking useless supports,2,banter
bro ur so fking bad crusaders rofl,1,banter
repport wynter,0,neutral
f dog spec have ulti and aga,2,neutral
they literally,0,neutral
report these mtfckin as   holes support roles  ,2,banter
really trash,2,neutral
pick something you muppet,2,neutral
oh crap ,0,neutral
leave him alone,0,neutral
hey they added a button to lifesteal aura,0,neutral
 st time win with meepo,0,neutral
retard cunt undying,2,toxic
bouty pos   ,0,neutral
is off the charts,0,neutral
why not,0,neutral
die or cry ,0,neutral
its fine ,0,neutral
team nb,0,neutral
dont waste my time on this shit,1,banter
thanks,0,neutral
truly idiot,2,neutral
tilted ass,1,banter
they want luna to abandon,0,neutral
maybe people should stop aprty when its not a thing,0,neutral
weak ass country,2,banter
youre a little bitch irl,2,banter
party with toxic,0,neutral
i randomed this shit in mid and still won,1,banter
fuck your mum wid your language,2,banter
onmce again,0,neutral
i shot myself in the head after that game so im a whole new person now,0,banter
strong  tinker is also in the game  energy,0,neutral
he dling some heavy ass porn,2,toxic
fully rtard,1,toxic
since my mid laner is retarded,2,toxic
thats so hot,0,neutral
shitty cop tho,1,banter
in chinese server,0,neutral
because he s not a fucking nerd,1,banter
ty sf,0,neutral
rapier wont help feed yes,0,neutral
whats up,0,neutral
its a cum black,1,banter
you think you can win ,0,neutral
play rubik or ill fist my asshole,1,banter
any sup  ,0,neutral
he is your bitch es,2,banter
i know babi only,0,neutral
sir le cock of roachith,0,banter
i just think top lanes funny,0,neutral
rubick go your mmr,0,neutral
he comin back,0,neutral
take it easy pa   trash is trash,1,neutral
imagine picking bat mid then losing this hard jesus,0,neutral
qop do you ever stop whining,0,neutral
good aiming supp first,0,neutral
ever been called morons ,1,neutral
and end fast,0,neutral
end this,0,neutral
found yua,0,neutral
its ok pretty free game,0,neutral
so boring pudge,0,neutral
he got banned,0,neutral
go feed tonce,0,neutral
sucker oracle,2,neutral
this idiots cant play,2,neutral
this slardussy aint shit bro,1,banter
but my sup can,0,neutral
exactly    slotted,0,neutral
you just got raped under tower,2,banter
some how,0,neutral
you should stop trying to kill me my stupid friend,1,neutral
hard support,0,neutral
he s a son of whore,2,toxic
my love we meet again,0,neutral
its both good xd,0,neutral
lol carried by a shitty tinker spammer and our throw,1,banter
pre sure silencer is baked,0,neutral
i smashed u near the bed,0,banter
thats like the most retarded team u can make,1,toxic
which piece of dog ,2,banter
dud he acc buyer and fk dop game,1,banter
