message, target,new_label
noob slark cant fight carry xd,2,banter
wtf is this root,1,neutral
cant we ,0,neutral
in yo head dumbass,2,banter
what a timing,0,neutral
fk that hurts,1,banter
is he an asset or liability ,0,neutral
win lane then useless,2,banter
need supp players,0,neutral
shaker used echo,0,neutral
it could have worked ,0,neutral
any big cock lovers here,2,banter
you guys are doing a good job at carrying me to a loss,0,banter
eziest game in my life,0,banter
i can but i need to train myself for pos ,0,neutral
your descendants would feel my dick in your ass,2,toxic
pick something different you sad fucks,1,banter
greys two dads are coming to pick him up,0,toxic
typical ching chong cant talk anything ,2,toxic
fuck off,1,banter
what was that about the push mk ,0,neutral
u need kills for arcana ,0,neutral
not enough,0,neutral
ty for win tech,0,neutral
first streamsnipe ban snap,0,banter
legion get off my dick,2,banter
after he got trashcanned,0,banter
english mother fucker do you speak it,1,toxic
item,0,neutral
report mk pls,0,banter
fuck off,1,banter
bros hop off my cock,1,banter
how did yall manage to lose this game,0,banter
i dont have sex,1,banter
thats crazy bro,0,neutral
i do wanna see the kukumancer  ,0,neutral
ez noobs in team,2,banter
wr crash,0,banter
stupid kotl dont know how to place ward  buying for next game,2,banter
that  k ,0,neutral
win ,0,neutral
no pl u cant win,0,neutral
literally,0,neutral
who,0,neutral
i think im pretty intimidating ty ty,0,neutral
g throne we afk,0,neutral
you really fucked my game bro  wp rub,1,banter
u r the loser we have win this so ez,2,banter
and staying afk in base min   ,0,neutral
fkin scaredy cats,2,banter
fuck this hero,1,banter
  iq player,0,neutral
wrong chat,0,neutral
think oh i can predict pango talk shit,1,banter
no worry bro it ll be quick,0,neutral
erpotign my team,0,banter
i eat pussy  does that count ,1,banter
poor puck s throat got wide   ,2,toxic
some trash u and pudge,2,banter
fuck it,1,banter
end this shit,1,banter
the bestr p a of cuba,0,neutral
what a pure chance hook,0,neutral
that is a joke srsly,0,neutral
dogshit players,2,banter
this is rocket league ,0,neutral
  v   but having a hard time idiots,1,banter
it s just waisitng time,0,neutral
by peru supports,0,neutral
rus tresh xd,0,banter
stfu seafood,1,banter
with this mothjerfuck midlaner,1,banter
but our cores were weak,0,neutral
me party with you smoke joint,0,neutral
g next,0,neutral
techies throwing hes in your triangle,0,banter
impactless,0,banter
learned to make it from your nigger mom,2,toxic
ur team canb win with out u,0,banter
get screwed so badly,0,banter
u party gamers are mega clowns,2,banter
stupid ass herp lol,2,toxic
earlier,0,neutral
fuck u,2,banter
pls not this hero    ,0,neutral
this is what happens when ur mid is shit,1,banter
i have an am who got shit on line and now he s crying hahaha what a good team  pure shit in this media  how could i get so low ,1,banter
see item  st diot,1,banter
whats the animal that keeps shitting on my car then huh ,1,banter
for all the time,0,neutral
eater,0,neutral
literally nothing,0,neutral
g next,0,neutral
neither are you,0,neutral
u can turn a fight immediately,0,neutral
what do u mean by that,0,neutral
can suck my dick,2,banter
your life must be so sad,0,toxic
he say stfu,1,banter
party with midgod,0,neutral
report this retard luna,2,toxic
what the fck are u doing,1,banter
no uts ok veno did shit play we had this situation from the start,1,banter
then he cries,0,neutral
ssaid im noob tinker but u scared,1,banter
that,0,neutral
ask your chingchong friend,2,toxic
he hates me because of his first death,0,neutral
did you open the shit out of it ,1,neutral
imma throw this shit for u,1,neutral
manners is me inside ur mother,2,toxic
certainly didnt take losing very well,0,banter
watch us lose,0,neutral
thats rough,0,neutral
hf next game,0,neutral
how about persona ,0,neutral
ofc bro,0,neutral
i play safe boys,0,neutral
what the shit u spouting sir,1,banter
how tf is techies   kills,1,banter
what losers,2,banter
retarded peruvian drow,2,toxic
jesus fucking christ,2,banter
plz rep this mf acc buyer,1,banter
come out idiot sup,2,banter
lftif i dc please wait i am going to start my generator and waiting for the router internet thanks  ,0,neutral
wtf is that,1,neutral
why,0,neutral
rofl,0,neutral
whos your baby idiot ,2,banter
is there alot of gays in philippines ,2,toxic
how i know its not a trap  lol,0,neutral
what a lsoer,2,banter
the succ,0,banter
u play like sht anyway,2,banter
imagine talking shit then losing,1,banter
mother good ,0,toxic
whoops sad that outlooud,0,neutral
end it tme pas game with noob,1,banter
shes so ugly,2,toxic
didnt think you guys got this toxic lowkey xd,0,neutral
you are so retarded pudge,2,toxic
finish it,0,neutral
my team lost lanes to this shit,1,neutral
worth ,0,neutral
fuck you too,2,banter
what was that,0,neutral
cant wait ,0,neutral
going for u,0,neutral
w in the chat boys,0,neutral
nice bug i cant see your stupid web,0,banter
but is it gay if the balls don t touch,2,banter
we fed on purpose,0,neutral
gg team,0,neutral
who wanna be carry ,0,neutral
i hope his work goes under so he can play more dota,0,banter
what was that about fucking us up later ,1,banter
clock,0,neutral
report od ty,0,banter
undying did the mouse eat ur tongue   ,0,banter
master of beasts    ,0,neutral
all day fucking dogshit games,1,banter
with sniper,0,neutral
pleas,0,neutral
we deboosters are losing the rate  take push heroes  buy meteors  tide will go behind the tower in the mid and will stop creeps for   minutes  do not kill him ,0,neutral
pick pa if u like slobbering all over fat cocks til they fill ur belly with hot cum,2,toxic
rank      k matches,0,neutral
sorry you feel insulted,0,banter
fking bs hero,1,banter
team ,0,neutral
dont wanna play this trash,1,banter
ur an ugly whore anyways blue,2,toxic
i don t give a shit about your spic traditions,1,toxic
what happen when i dont play caore,0,neutral
undead should be segregated from the rest of us  ,0,banter
still managed to walk  ,0,neutral
wow  such a little bitch  can t even reply normaly without insulting some one ,1,toxic
ok ok settle down and ill get off your mum,2,banter
if youre triying to tilt me low skilled animal,2,banter
fuk this cunt,2,toxic
ur fucking good,1,banter
team diiot,2,banter
carry or ruin,0,neutral
now trashtalking ,0,banter
my ench flame me,0,neutral
maybe its his teammates,0,neutral
stop using that shit,1,banter
mid mode whitemon  ,0,neutral
absolute dog shit toxic,2,banter
only  ,0,neutral
oh now it is only a game ,0,neutral
ta has boots    naga is a wank hero,1,banter
what,0,neutral
how u survived both those fights   ,0,neutral
nice hero,0,neutral
the attack didnt hit,0,neutral
ur pick is shit,2,banter
hes talking mad shit too,1,banter
and shit on so many pos  and  ,1,banter
the owner of the bear a gay ,2,toxic
how much ,0,neutral
fuck u i am the carry,1,banter
right,0,neutral
thank,0,neutral
caming,0,neutral
and his wasting his life time on this game,0,banter
suck my tiny pecker,2,banter
ur mom where,2,toxic
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,banter
wait for him,0,neutral
or smoe shit,1,neutral
you are not playing good  our afghan friends playing bad,0,banter
so stupid offlaner ,2,banter
son of whore rubick ,2,toxic
haters,0,banter
for the first time,0,neutral
he went to masturbate,1,banter
why you didnt pick ur friend wtf,1,neutral
we re learning dota this side of the river,0,banter
easiest game of my life,0,banter
my carry vs enemy carry,0,banter
fat ass fuck,2,toxic
sounds something a boyt would say,0,banter
this am is fucking the hottest trash,2,banter
wtf thats maggie ,1,neutral
son of pig caught live on camera,2,toxic
dont pick me with bob,0,neutral
i think u like a dog,2,toxic
clown sf,2,banter
phone  a couple of mins max,0,neutral
you are lower race,2,toxic
really,0,neutral
termine hdp ,0,neutral
we have a lil jungle bitch here,2,toxic
idiot this pudge,2,banter
wtf racism,1,neutral
report puck ffs,1,banter
u can fisnih right now,0,neutral
classic    age,0,neutral
why so pussy ,1,banter
who,0,neutral
no awareness frog,0,banter
cant do shet wihout ur suport,1,banter
stil lthere,0,neutral
trashcunt,2,toxic
just as noob as you are    ,1,banter
i fucking called it    sec in advance,1,banter
who the fuck,1,banter
really strong series guys,0,neutral
please let us win,0,neutral
thanks for coming,0,neutral
everyone on my team should neck themselves,0,toxic
that s why u start typing,0,neutral
pls own him,0,banter
when we had so fck trash pick,1,banter
my suport is noob as fk,2,banter
but brown,0,neutral
trying so fucking hard to throw since lvl  ,1,banter
toxic,0,banter
okay but your sister put her bed next to mine,0,toxic
trash drow,2,banter
fukion ez ching chongs,2,toxic
sht cunt techies,2,banter
what a trash pub,1,neutral
i say to them,0,neutral
good handicap for us,0,neutral
your parents never loved you  adopted cunt,2,toxic
this team scare,0,neutral
frc,0,neutral
lol he is a fat kid,2,toxic
its rly broken shit,1,banter
useless enemy team also cant end,2,neutral
whore,0,toxic
yes we are noobs ,1,banter
whity boyy,2,toxic
it was great ,0,
timber sucks vs me and undying,1,
despite both mid and offlane super feeding,0,
do u already try new pudge set ,0,
can end i destroy my item already,0,
clowns,0,
play genshin,0,
why waste your own time,0,
im here to bang bitches and own noobs,2,
they didnt pick a single,0,
clown carry ,2,
bark for me cory your handler said it was allowed,2,
when u r losing raxes now,0,
i m a fucking hooker,1,
actually dont touch his blade thanks,0,
really really ez,0,
you are so shit lmao,1,
stop playing,0,
you are the most skilled archon ive ever seen,0,
disugsting gross filth race,2,
it helps,0,
hitting towers,0,
aw shiet,1,
end chicas,0,
what a trash game,0,
but didnt specify which game,0,
mather  d,0,
playing  wth rightclick hero,0,
dont talk son of whore,2,
ez indio,2,
se distrae intentando matarme ta k abuso,0,
not my fault u so fucking garbo bro ,1,
yeah your history is fucking bad xdd,1,
pablo hater,0,
good top,0,
braindead rus,2,
giving you some chocolate flavoured kisses,0,
thanks m ,0,
more party games,0,
can one of you play offlane,0,
win yet ,0,
more like watch if you want your eyes to beleed,0,
but we will win,0,
see for waht sniper  ,0,
whats up,0,
useless snap   brain,2,
you played too scared mid qop,0,
straight guys thank you,0,
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,
hard to be the best,0,
we have a retarded qop,2,
you suck my dick before sleep,2,
inting the whole fucking game,1,
you know  i didn t wanna go bkb tinker  but you re not giving me many options with your fucking laser  ,1,
had a dream there didnt ya pa,0,
one more g pls ,0,
glad ur a good sport about it,0,
rep trash smurf sf,2,
acc buyer noob,2,
codex pissing or sth,0,
just rtarded support on my side,2,
losing mid badly then tinker fucked all lanes ,1,
imagine throwing this game,0,
both are designed to annoy ur opponent,0,
throne nuugers,0,
scared bc ur mid is noob,1,
dude promise got     ping then morph lose top,0,
to prove i can cancel with grenade,0,
u guys lose the time,0,
our carry is too gay,2,
see he then only can kill meepo,0,
worth it,0,
coming,0,
im re mute you but just know you had   chance at life  and you re a chink,0,
does fly works on clones ,0,
seal totem not jump in this barrier,0,
thron,0,
he s wiping the poop off his face,2,
wp wp attempt to survive,0,
both drow and noob ogre,2,
t fnm,0,
like your mothers,0,
report who,0,
whats wrong noob,1,
it was so traumatic,0,
weak ass bitch,2,
ready,0,
tim anjing,2,
are you some kind of retard bro,1,
what is he supposed to do   ,0,
he is dumb,2,
and then fucking lose,1,
or feed on mid,0,
timber last pick,0,
in your mothers mouth,2,
wtf is that shockwave hook interaction lmfao,1,
too bad i have   rapier,0,
i was so unsure to do next,0,
he wont back bro,0,
choppp,0,
kill my currier,0,
chrono the sky guys,0,
to all chat,0,
upset he was born in a country where they are born with small willies,2,
low brain,2,
can we go next,0,
who tf is steven,1,
kick this fking shaker,2,
rosh worth it ,0,
this idiot dont know to paly,2,
you are still crying,0,
out sniper sight,0,
u can own only invoker actor players,0,
grow the fuck up mongol,1,
can u ff this shit xd,1,
when u supp a noob team,1,
g throne,0,
way better than us,0,
i cant play with  iq fcker,1,
best team i had in months,0,
you pick fucking undying every game,1,
vvverry nice ,0,
sucks to be you,2,
clown,0,
and juggernaut has a manta style and nothing because he decided the best thing to do once his lane was fucked was    nothing for    minutes,1,
ogre is guardian or somethign,0,
cant win alt ,0,
dont tal to me,0,
how the fuck you lost,1,
cry please,0,
nothing,0,
fuck u bot scared dog,2,
why do so many rtards play this game,1,
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,
fucking cancer,1,
what,0,
wtf is that walrus,1,
losing to nt mider,0,
finally lol,0,
earth spirit,0,
our venge is very mad  cause his mom still holding his winky while playing,2,
chad player,0,
next time dont es offlane bro  cant initiate just wait like pussy,1,
wp imbecile,2,
my fucking,1,
bitch ass,2,
oh sorry i meant pignoy,2,
throne,0,
you die first then you can tp as cold corpse,0,
and know everything ,0,
idiot low rank,2,
your pos   has double the nw of my jugg   ,0,
stack reports for this clowny ruiner on treant,2,
party with broky,0,
yeash ,0,
u are the idiot,2,
crawl back into that pig sty lil worm,2,
report them all please  such retardness,1,
i would have same score as faireye,0,
here to save toronto,0,
puck got stomped mid but otherwise didnt do so bad,0,
uck up bort,1,
tough bot,0,
im solo play when spirit br and shaman suck dick,2,
watch out lads  this qop is farming while you fuck around top ,1,
only ld and meepo,0,
son of whore,2,
fuck russian,2,
toxcic,0,
today im ur captain,0,
when u re qop ,0,
omg topson build,0,
tangina mop  ,2,
stop wasting our times,0,
not that intimidating,0,
wtf is your problem,1,
my wit and your mom have that in common,0,
before putin bomb you,2,
clowns,0,
hard to play line with rtard like you,2,
am ,0,
trash carry ,2,
he s logic is he is noob,1,
i nvr talk to u before tho,0,
rapieira first item and gg,0,
chase me sniper,0,
look at my wk score,0,
fuck u,2,
u lose   wisdom haha trash lol,1,
i m cashing     s,0,
party with peksudota ,0,
cool throne,0,
have you everrr,0,
why u not in my teamxd,0,
my words exactlyu xdddddddddd,0,
clown meepo,2,
carepichulas,0,
fking trash supp,2,
no he need brains,2,
bought mkb,0,
english and education,0,
aint no way im playing against doctor sex,1,
not a sea end ,0,
suck my dick la,2,
how many guys have fucked your mother when u were watching ,2,
rofl,0,
oh it is you devil icon,0,
sound,0,
that acorn got me fucked up,1,
fu c,1,
toxic is making me play with u,0,
low rank animal,2,
cyka,0,
fucking pathetic,1,
you got assisted by a centaur,0,
thanks to wr,0,
that chrono fuked ya,1,
random or pussy,1,
rebooting my laptop changed nothing   ,0,
where ur mom now od,2,
   observer    secntry in shop all game with   sup,0,
can we all take a moment to breathe and just not play for a minute or two,0,
can u do something ,0,
she likes to drink cum to get into high mmr games,1,
leaving sniper alone,0,
did you shit in my pants,1,
finally u called me,0,
i report necro if u scrim rightr now,0,
cumback ,1,
not this game mate,0,
ty ,0,
marta  lpds and irevall sending their regards thron,0,
let me out of this shitshow,1,
im a terrorist,0,
k ricooo,0,
gl to new player invok,0,
ind g poor country ,2,
thats why you are guardian you idiot,2,
rctm,0,
hope u report this iodiot,2,
see that,0,
thats a shame,0,
that arrowe,0,
whity i will show you now how to play offlane,2,
i play too much sd tbh,0,
wtf is worng with u people  ,1,
who will take it,0,
grandma on fire ,0,
annoying piece of shit,2,
why you so silence         ,0,
fuck u whore mother,2,
welcome back,0,
fu cheater,2,
big mouth,0,
learn english,0,
dont over try sp cs,0,
csmr,0,
i knew you will come,0,
bruh it deserved it,0,
this fucking timber makes me sick,1,
smegma in your cock,2,
yes yes you fk you mom we all know now shut up and play,2,
the two shit noobs ,2,
no se banca   skill,0,
this am is amazing,0,
this game,0,
report np guys ty,0,
this dog say me  use tp,2,
oy pick fast,0,
wtf primal ,1,
sup ind g ,2,
how u know that noob ,1,
waiting for you guys to say  end ,0,
nice throw ,0,
my mid is retarded,1,
so useless this zeus  wanna bm,2,
gg and fuck putin,2,
take it easy bros ,0,
fucking retard unreal,2,
ty for wasting    min,0,
whos playing pikmin  ,0,
because thats what i queued for,0,
sin carry,0,
antiogamer,0,
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,
btch,1,
who this gay axe,2,
match,0,
esp this dazzle,0,
we ll give you rampage,0,
i dont want ot play this,0,
suck sucky,2,
my supports will let you,0,
why bane   im sketcher fan    ,0,
is he good ,0,
    match fucking smurf,1,
my axe cant tank for shit so i gotta step up,1,
party with uzbek or ruin,0,
why the fuck,1,
buy another crimson nerd,0,
treant,0,
you guys been called absolute morons before ,1,
fukll of fucking noobs,2,
cry baby stormieeee,2,
tell me why so ez,0,
thanks to ur teammate,0,
u fuckign clowns,2,
pause reason ,0,
razor is such a tryhard faggot,2,
heartless bear,0,
yeah  this match unbalanced as fuck,1,
yep  died   times in a row,0,
might wanna get that examined,0,
this mid and safelane   ,0,
    accident don t even know how i did that,0,
report anti and magnus,0,
i thought all of u,0,
rape ur own mom pa,2,
if my venges mom isnt a fat fucking whore,2,
same with bot,0,
i m supposed to call you my brother  and your dog of a gf is your love,2,
whats,0,
ill report u and pa,0,
herec,0,
we fckng lost,1,
no need to be cunts about it ,1,
my team noob,2,
invis  bitch wins again ,1,
stupid bot s,2,
what low mental fortitude,0,
learn before u talk sh it tard,2,
who needs a shard,0,
more noob dotn know  timing of rs,1,
basher troll though,0,
its free,0,
i dont speak ching chonmg,2,
need mana fucker,1,
distrupter says its ease    ,0,
for griefing now,0,
how did she get this farm  ,0,
while fucking her ass,2,
thanks,0,
yeees  no spin,0,
need a paws ,0,
really,0,
push ftw,0,
nah    min que didnty expect game,0,
asi me gusta,0,
rofl,0,
with this timber on my team,0,
where tips wtf,1,
sound slike he has throat cancer,0,
next,0,
but why linken,0,
that is fucking retarded,1,
spec cant cs top,0,
tang ina,1,
or what other shithole u from,1,
it s ok,0,
when the tiger hungry he eats ,0,
when u go,0,
he noob in short,1,
three mothers,0,
trash ,1,
no fucking shit  you re puck,1,
i gape her and fuck her ass,2,
i dont know what happen toi this sht team,2,
mad at that tb,0,
fcuk this qop,2,
well our void also sucks,2,
nah that s rank,0,
boring,0,
not,0,
namo    troll or retarded ,2,
whati n the fuck,1,
great fucking job od,1,
last pick timber ,0,
where is ur item ,0,
down syndrome monkey,2,
thanks,0,
timber is casting his spells  his eyes are slightly more fucked than his cousins at family reunion  so he keeps thinking he is playing pudge,2,
if u reach top     they said,0,
nyxs mom is sucking me off rn,2,
ur big mouth to rank   ,0,
f u idiot lc  when we gank u were always jungle early game,2,
piss off pa,0,
he s cmming back fasat,0,
gg this underlord pussy,2,
u deserve nothing,0,
for what,0,
in arabic ,0,
nailed it,0,
learning,0,
hey jakiro whorechild,2,
who can carry or    ,0,
nothing,0,
im created by god,0,
fucking trahs,2,
lol that enigma,0,
still cant win to me,0,
and they still fail like dog,2,
lycan my ass xd,1,
warlock stfu noob,2,
if u new who i was i wudnt talk shit   me   ,1,
getting this shit rng,1,
omg what a fucker,1,
missed cs  ,0,
even ur own team,0,
win pls ,0,
retarded offlane,2,
f ur mom russian in dota,2,
its arc warden o clock,0,
u guys ok or what,0,
try my asshole,2,
going in tower hit range,0,
you know it works when you re dead right ,0,
ofcourse,0,
fuickl u,2,
you are lower than me cockspaghetti,1,
ur mid is so trash,2,
nice od afk,0,
me la cachee,0,
you were given a free game,0,
this es,0,
such a hate boner,1,
ursa reported for being  a dog,2,
probs fuckin goats,1,
scaredy shits ,2,
pick sd and mirana without combo,0,
every game i play with idiots    ,1,
that  ,0,
im gonna go play overwatch fuck this,1,
she cant do shit,1,
like fuck off cunt,1,
end please i got the rtard team again ,2,
weirdest shit ive ever seen,1,
idk wtf my team is doing,1,
what,0,
end this boring ass game,0,
fuck why pigg jugg,1,
report gay jugg,2,
report ty,0,
will sup only with boom,0,
they said supp  st,0,
fk off spe,1,
i ate a shit ton of broccoli,1,
i fuck both of ur gay fyucking faggot dads,2,
pa throwing,0,
to base,0,
  sitting in base,0,
he scared,0,
ibs is not a handicap,0,
you are shit player bro come on ,2,
learn from replay ok  ,0,
low mmr trash,2,
any offlaner,0,
stop this shit ,1,
noob carry jugg,2,
hhilarious rubick,0,
tellme what do u wantfrom me  ,0,
bzm also tilted ,0,
i have     winrate tq bro,0,
shut up nigger go back to candyland,2,
that stupd,1,
wtf just rat ,1,
but ur team left u,0,
throne it up ,0,
who banned naix,0,
well not really  ytou were shit,1,
first hit bash,0,
stop walking to fountain,0,
intro boy ,0,
bro idk how to use this,0,
packetloss,0,
dont forget to report this faggot sb ,2,
team afk,0,
break items,0,
  cis team,0,
not in one team with manticore pls,0,
was lost,0,
crusader rank is tier of noobs,2,
for a  rd world dog,2,
 pior de todos,0,
so its not fair then wtf,1,
your ancient needs that much help ,0,
on bot ,0,
you and i,0,
mine crying from beggining,0,
fk ur country,2,
sort of ,0,
crash,0,
easiest fucking top of my lfie,1,
pause for him ,0,
very hard,0,
ks this nob g,1,
luna once saw how her dad is fucking her another dad,2,
u wont fight,0,
can we swap report for ursa ,0,
i know ur life is bullshit,2,
noobs are   for   today,2,
nice of you to come back to the lost lane enigma,0,
fuck off,1,
no tps team shit,2,
hellow,0,
actually hilarious ,0,
ur not even there,0,
you play the exact same hero,0,
the goofy ass cookie,0,
trash   low skill,0,
lol big fucking brains on this puck,1,
pudge go home man,0,
but saberchad stronger,0,
this is funny this hero got   fkin intellengence,1,
when this dick head is whining already,1,
help a brotha wet his willy,2,
pls be nice,0,
fuc off,1,
always   dog suck my djck    ,2,
nice off,0,
wha mean,0,
also our es,0,
ubos tuloy kayo araw araw,0,
in the name of allah,0,
french plese,0,
idiot as fuck,1,
fair play i respect it,0,
i ll steaaaal everything from youuu,0,
beleive that you can kill more than a lowly lich,0,
c an w e  end ,0,
you were never gonna win with brad on your team anyway dude,0,
  times my buttons were pressed,0,
why me ,0,
fuck this trashg shit,2,
fucking retarded cunt,2,
 the squirt is piss ,1,
team idiots,2,
trashcans,0,
what a moron,2,
ill roll for yous,0,
jugger was really bad,0,
u have reached a stage of the game where sniper understands how to play now,0,
after the loss,0,
in real life,0,
 but ty ,0,
his router isn t giving input output,0,
wtf i thought offlane or jg huskar,1,
i really fuckign tried,1,
nothings gonna change the fact u son of whores are  k mmr ,2,
sh currier,0,
shove it up your ass,2,
will not supp,0,
ty free duel,0,
phoenix w the drip,0,
ez as ur mom was,2,
this fucking,1,
im higher rank  more people would watch me then your dumbass,0,
wait for lc,0,
where my archin gank all map,0,
by the way a noob necro,2,
and otehr times dont,0,
literal definiton of a sore loser,2,
retarded ape,2,
youre lucky our bs built like a fucking offlane or something,1,
nice shit  d ,1,
then first hit tried it became dark xd dota wtf,1,
noob will lose no matter how,1,
report legion not playing his role,0,
wat a trash,1,
party with    ,0,
cant speak for the others,0,
my oflainer,0,
win ,0,
 nyx reported,0,
      of gold xd,0,
clowns,0,
u know who is dick,1,
u talk alot of shit for a game thats not won yet,1,
what a loser,2,
cu slabul asta de why so serious,0,
so fuck it ,1,
idiot how,1,
how to win ,0,
stupid carry,2,
always kill me first,0,
do i really hurt the ones i love   ,0,
i think pl may be the top contender for gayest hero ,2,
aight gg,0,
hope atomic bomb will land their home,2,
idiot team,2,
thats only illu bro,0,
tired of supporting fucking noobs,2,
he prob gonna play better than this qop,0,
idk man i have pos   talking shit to me all game when he picks alch pos   and feeds all game ,1,
future and  or k can mid,0,
worth,0,
the fuck,1,
     me when rape ur mom,2,
rat fagot team,2,
what piggy,2,
why respect  ,0,
throne,0,
wtf was that idiot fish,1,
fuck this night,1,
sry its raining,0,
with his low brain,2,
ksh smurf or what  ,0,
im not there retards,2,
ty for win,0,
you understand me now ,0,
is fucking u in mid ,1,
nt am,0,
easy,0,
he is retarded,2,
im in discord with him,0,
cool game,0,
