message, target
i bet you bought that as divine and now legend,0
not reporting am,0
ur mom ugly bitch,2
wtf is that jump,1
sorrey my contempt for the stupid fucking cunt am got in the way,2
feed too much,0
was playing with my tongue noobkid,1
 head,0
just end this,0
go finish  noob team ,1
fucking clutch,1
i hope you think about this xd,0
how long before out of legend,0
why dont u just send your mom instead of vitamin b,2
rofl,0
imagine playing    k games but still plays like that,0
mid go they cant def,0
u was rape pos   bro,1
wtf go mext ,1
i prefer abuse but doing shit then this dusa,1
dont know,0
wtf how come od legend vs me cruseder wtf,1
fucking ti players in legend,1
wr leave the game    make your team stronger you rretard,2
wtf rs,1
the good old mom card when you suck so hard you have to use it,0
every   minutes,0
idiot earthshaker bot,2
why man  p,0
you are mouse and noob,2
such a shit ember spirit as well,2
hey clown look top,2
party with uzbek or ruin,0
death and woe to all ruzzians,0
sorrty,0
typical,0
cue benny hill music,0
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
go fuck off,1
funny thing,0
report warlock,0
it should say safe to leave,0
your mums pretty easy,2
f off virgin,2
u cant even stun a player haha,2
i jsut said my first game is nice game,0
push mid clown,2
nah actually fuck undying,1
that bad ,0
yes ur whole family all trash lsoer,2
can you faggots stop pausing,2
ember son of a whore,0
catch me,0
for what tard,1
nah  you do suck though,2
perfect hes a pleb,2
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
and   of ur core players,0
imagine calling others moron,1
pos   pls thanks english team if possible,0
try hard ,0
by a mirana,0
they just too bad,0
nice english retard,1
this dog tip me ,2
thanks for spitting facts whitemon   ,0
why go when i put a x,0
the fuck u trying to do ,1
how low this fucking game is man even if we afk,1
reason,0
fuck off,1
cause our clintz and am are fucking dogs,2
holy shit,1
your mom has nice jugs,2
imagine your carrying this mf,1
trash coore,2
gg can throne,0
of course,0
ammar the  beed,0
with me fucking ofc,1
you re not going anywhere,0
shoudnt,0
gotta have some public decency,0
i breastfed from your mom,2
and it wasnt even u moron marci,2
can we end ,0
i bet ur face is ugly pa,2
what a retrard ,2
 you talk a lot of shit for someone who hasnt won   ,1
fucking techies,1
two aghs,0
im so fucking trash,1
fear my dick,1
  pos and  pos buy it,0
put a period so you don t use bad word  cunt,2
now i m gonna ask you who do you think is the acc buyer  ,0
yesss ur mom is animal,2
the stupid penis lover ursa,2
my team is just pro,0
fuck putin,1
really   ,0
i ll have to check w  your mom first,2
cumshot,1
stupid team,2
who is the best support ,0
how much pidaras i am from   to      ,0
we dont even have a carry and you still suck shit,2
back,0
beast,0
tem uma drow um juggernaut,0
u are the shameless shit,2
so fucking trash offlane,2
son of whore,2
leave fuck noobs,1
lol ns doesnt leave top for    minutes ,0
especially wr,0
what a fuckjing,1
look at these imbeciles forgetting about serpent wards lol,1
fuck off necro,1
holy shit you re outskilled so hard,1
too ez undying dog,2
everyone,0
think of all i ve done for you,0
hey noob anthony,2
after this game you will have less mmr than me trash,1
why,0
we wanna be toxic to win,0
and i will still be above you ,0
farm creeps,0
fuckk offff man,1
what the fuck i wanna play ,1
please hold,0
this stupid bull head waits for his teammates to die every time when he hurts ,1
holy shit,1
its great russian language moron,2
why wtf,1
is this lp,0
u suck pinga with cheese,0
keep trash out of dota,1
like the oracle,0
this stupid,1
why is magnus mid and sf on offlane,0
ur not the reason im dead thoug,0
puhyssy assssss d shadow blade,1
doesn t change the fact half those hits are wasted and no about of unranked posturing will change the fct you re a huge closeted fa   ot that enjoys bbc and dogsht ugly girls,2
   ily emp,0
ty for waiting fags,1
where is it retard ,2
did ur pussy leak or what ,1
what a shit team,1
gettin this occasion to get somethin to drink  do the same bois,0
how long have you been a huge fa   ot,2
  reports clinkz,0
oh hes raped on top,2
that ur a son of whore,2
good silence,0
im getting free mmr why would i be angry ,0
as retarded as centaur,1
od players,0
were talking so much shit,1
too bad yr mouse dick kinda cute n short,1
report mother fucker useles axe,2
finally,0
its fine bro,0
put some pants on antimage,0
little neckbeard,0
go kill the dog,1
wheres bat huskar wtf,1
 idonthave,0
imagine saying my tinker noob but still scaed of my tinker and pick early hahahahahahahahah,1
this game is a waste of time this mk sucks,2
toronto and me,0
did you get the gcash ,0
fucking trash,2
youre a sniper    ,0
into typing,0
with my best friend,0
white boy,1
pure idiots are playing this game,2
ctm,0
wr watching naga and me getting fuck on pornhub,2
throne it,0
undying was hype af,0
wr who to blame now ,0
fxck you too,2
i hate black people,2
told u about handicap,0
wtf is this,1
never denied being a piece of shit ,1
its only like    mmr or   ,0
probably tastes good,0
for sure,0
this is pritty gay,1
something,0
  good played  well game,0
with ur stupid gameplay,1
let s fight with tide ulti only,0
he take    hit on towers,0
thats lc all game,0
doesn t explain how you are dogshit outside of mid,2
so hard for clincz mmmmmmmmm,0
pussy bitch ,2
omnislash this nuts,0
maybe a   for   soon,0
what imbecil,1
whitemon waiting for ur new songs with aki   ,0
lol this guy is mentely damaged,0
me haz fedeado,0
let him play and waste his time,0
thanks,0
ez bear tho,0
fuckign hell mate,1
trio trash player,2
for rough sex,2
what a joke,0
typical woman gamer,0
please report jakiro,0
his computer shitting itself,2
report team pelase,0
i used to love sand king when he sucked,0
gl to new player invok,0
waht wind ,0
said the useless mid,2
yeah why ,0
fuck this game,1
hc eeuu shit player taco,2
cumbackkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
whos a pussy,1
this close to breaking my items   ,0
only cores,0
bobo edition,1
and   retarded arab,2
blue is a fucking moron,2
idk how u dont pause for ur mid for    second,0
wtf was this game,1
let this boringgame end you morons,2
i need to go,0
the       is talking,0
bot and top too shit,2
my team is trash,2
walking around lc,0
u trash sup ind g ,2
also dw team with this dog,2
this puck play lina so bad ,0
pa why,0
its tough,0
this s pid dog jug,2
riki i fk ur sister,2
ty for that,0
time to fondle ur balls,2
i want more of that ass,0
son of pigs,2
you are such a loser brad,2
he is so noob,2
you shouldnt focus me,0
if youre kigs procreate with white race     times you wil still be yellow piece of shit chiense trash,2
thee ol bullshit switch ah roo,1
stomping aint sweating bruh,0
because we are not autistic like u,2
if u think sniper is a newbie,0
i dont care if u have to shit,1
these games are so fucking bad,1
nice picks sniper,0
oh crap ,0
mrbeast giveaway,0
cope and seethe,0
playing wr vs retards,2
we will never know,0
hey neo,0
wtf was that blink valve ,1
it was a tasty horse,0
his mmr maybe    ,0
they playin,0
ty idiot,1
sorry no russian,0
  range hero,0
and  half ur base gone,0
report timber,0
our support just feed for last    min,0
fuck this dk,2
take it easy trash,2
your mother faker,2
all gank top for carry then carry useless ,2
ur doing great,0
trash median this is,2
being virgin   fucking ugly bitches,2
tipping in double score  game,0
gg  ss and furion feeding,0
are uguys for real,0
what ar etard,2
party with raving,0
if only silencer wasnt a pussy,1
carry weak,0
tip me,0
ty guys   ,0
piece of dog,2
report to avoid this example piece of shitt,1
 nto the game,0
u r really wasting that shitty laning pahse,1
forgive your team then ,0
gave youf arm,0
total noob without huskar,1
what else,0
useless cores,2
beg whore,2
our sup throw it and we have no mid,0
i guess you gotta voice line when thats all you got going for ya,0
not watch u cry and bitch,1
puck good player,0
when luck becomes a lifeestyle its called skill ,0
its not even fair,0
word of advice,0
the worst player here is u,0
are u shaikng heaed now sven,0
sry this fucking clown talking all chat,2
fuck yes they are,1
sry didnt mean to tip,0
high mmr is supporting ,0
son of whore,2
u call me a faggot,1
whats wrong with him ,0
i was admiring it when you dickwads rudely interrupted,2
make the community better,0
i trying my best to sup them but seem like i m the only fool,0
too busy being in my mum to play dota i guess,2
mucho tecleas sonso,0
idiot tecis,2
go end please,0
helloooo end clownada ety,0
you relate to losers,2
now afk retard,1
we were winning top when he left,0
snap be like oh a new day to ruin   peaple game,0
rep this bitch,2
come on me ,0
sounds like he should abandon,0
toxic and noob,1
fcking idiot team,2
ohj the fag hag is here,2
he break items,0
assholes,2
im sorry i smacked you ,0
i want your ass,1
all that talk,0
i came in   v   and raped u remember,2
tell that to zai,0
tip thge ns,0
the only reality is that u are toxic stupid little kid whos mother is getting fucked daily,2
free to end,0
what hapenning,0
no senc this game,0
that hook,0
  feeded by   noobs,2
wtf that creep,1
youre trash,2
gg thanks for ez top lane,0
china balong ingles friends,2
are such fucking pussies,2
learning mechanick,0
all because zamuel didnt want to support  trash ,1
my   pos is trash,2
he didn t use chrono,0
show me ur ass,2
and still trashtalk here,0
this qop,0
nah prefer to avoid u so i can keep getting free mmr,0
wind and  sky ,0
u think im dumb,1
nope,0
you should give fuck about russia losing in ukraine ,1
this noob,1
bot easy ,0
that sounds like a blue hair disease,0
it cheap,0
typical trash mid,2
but with meteor,0
why no pick me bmk ,0
silencer and wr are shit,2
pussy b tch,2
ta threw the game  gg,0
u are idiot estern p iece of shit vodka,2
i pause with my peni  in yo mama,2
sucks that lion raged,0
report that noob,2
fucking idiopt,2
i didn t see the clock boy,0
i have more flesh heap then minutes of this game,0
how fun it is to play that hero,0
u guys kept on manning up and chasing doom,0
congrats you can press   button barely after   people get your ass there after shitting the bed,2
throne,0
free to end,0
offlane noob,2
son of whore,2
he plays,0
u son of whore,2
 ls time to play mid,0
and buy rope,0
always astral his mum,2
what is bkb ,0
you low rank you complain a newplayer sniper for,0
what     ,0
cant play with bastards,1
retarded qop,2
easy,0
my brain is shrinking,0
support with hitter item,0
by my team,0
hard to hf with pl pickers    ,0
holy rape,1
go back and get   more hours of sleep,0
this dogs   ,2
and you suck ass son,2
can u teach me how to be commedy man too  ,0
bm really fucked up dieing bot,1
good luck have sex ,1
cought me on a fast typoig ,0
 v  but cant end wtf ,1
only thing i m pissed about is sniper ebing a dick,1
marci the moron they call her,2
you done that manta zeus shit yet ,1
my team are retarded,2
sb boots grenade buybacks min    cuz he tilted,0
the master baiter,1
ez the fk ,1
ny bot realno,0
nobovy wants to play this out,0
easy,0
doing  tho,0
tf is this visage hero lol,0
cringe,0
stop pls storm,0
thefuc,1
feed mid go next fast,0
i m the mc here ,0
gg out pls,0
you should see this bicthass team,1
he is fking nobo,2
lol this pa lol,0
we are so dumb,1
or not ,0
im planning to sell them ,0
hahah been there,0
this bich hit me with mail,0
that ball for me  ,0
go throne,0
pls win,0
why play like such pussys when your so far ahead,1
trash hooker cant win,2
tits is tis,1
my cores are jerking off i guess,2
this is over,0
sucker,2
can u end oger now plz,0
the shit ,1
i eat ur fake mmr,2
bcs he is rtard,2
the faster we can get out of this game,0
ure the only idiot here,2
talk cock ,2
nice hacks  why are you all there  that map hacker tell you to all go there ,0
can u believe this dog ,2
stupid england dont know what is said   ,2
 ok we not afk,0
who can carry,0
wanna get in somrthing ,0
aw shit,1
it s ok we re both playing broken bullshit heroes,1
dome ass has no bkb or linken vs fucing bs,1
your mom still available tonight ,2
 then fucking afk xd,1
stop walking into my spells,0
penis monkey low key,1
go fuck yourself hopefull,2
slark your team oob,2
btw if i have to play with you ds and clinkz im gonna feed you for being a retarded fuck,2
wrong person my b,0
i am literally the dumbest motehrfucker alive,1
wtf is that heal,1
f that guy,0
    high rank low brain,2
grow some real skill and some real heros od,0
why not,0
nah thats your luck mother fk,1
heart for what ,0
you fucking trash,2
pudge no longer factor in this game,0
clown sf,2
morning dotes,0
we have stupid bear,2
your state is fucking useless,2
who is feeding ,0
two idiots leaving kills now,2
what do u expect from a pudge player,0
how useful the dumb support is,1
they cry,0
yal are dicks  why not just end ,1
fuck yeah fuck the econnomy,1
was that a triple crit,0
how much you guys pay dark seer ,0
im dangerous as fuck,1
trolling,0
gg bots,0
u farmed so fast,0
who took all the words     ,0
its aight,0
come bitches,2
he lost too much ,0
nice ult and bkbs fucker,2
wtf bh like that,1
idiot team,2
ass fucking sniper,2
tf was that feed,1
u the boss,0
agaainst u clown,2
fuck putin,1
p ece of shit,1
ya hes owning,0
fcuk this mars mother,2
fucking pleb,2
dogshit check,1
ban jakiro   scared of  k mmr pos  ,0
qops just trying to make me feel better about my ice blasts ok,0
bb was waste why you throwing,0
we didnt say anythign about tips what,0
calm down ,0
give me ply timber ok ,0
party with uzbek or ruin,0
ur mom still available ,2
don t think he said anything at all,0
hes a pussy,2
whore,2
i can do shit at late game,1
finish teh gfucking game,1
we dont talk with animal,2
free game,0
throne,0
hes in our top jungle now just going for jackoff afk,0
look at me go,0
can out   ,0
talk alot of truths,0
when he doesn t know how to support lol,0
and he still aint do it,0
off and this mid,0
that might be gg,0
 what are you waiting for  kill mmeeeee ,0
fuck this firebird im with,1
throne it,0
ending the game ,0
my team are pussy,2
who are u idiots,2
how u to bee ind g  ,2
you got the   again ,0
ez team huh storm  sadge ,0
ill take some of those stiches,0
why me with pa idiot,2
whole,0
i m bleeding from a huge gash,0
we have noob team,2
you aint tearing shite apart,1
cllowns,0
need more practice,0
piss is store in the girl balls,1
can u end mid with metores,0
youre lucky our drow has downsyndrome,2
these guys were ass,2
its ok boys,0
sniper poor have a bad net,0
i need a pause for   min in      minutes for delivery sorry,0
morons,1
its ok pudge,0
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
maybe that will work,0
gl whoever has him in his team,0
dog shit team again,2
gj team commend for all,0
he coming,0
fucking sucks,1
the,0
just stay base bastards,2
i lost    games won  ,0
are femboys gay   ,2
finally axe did it,0
 noob techies,2
this,0
tanggggggg inaaaaaaaaaaaaaaaaaaaaa,1
trash necro,2
fking cunt,2
ur moms butthole last night,2
cheating brownskinned piece of filkth,1
fuck me may aswell go unpack the dishwasher ,1
if u pick lifestealer in turbo,0
fukcing hel,1
was it worth,0
   deaths,0
shame i have to listen to dog,2
fucking hell ,1
for   man echo,0
and supor are trash,2
my boy is fed as fuck,1
why won t u wait ,0
fucking lane creep ruining my health,1
but sniper always gets fucked by sd,1
it s       for me rn,0
fck this game,1
trying to win ti bro ,0
literally,0
why he still in mid,0
ind g poor cpountry ,2
should be the one playing on his real rank,0
fucking motha fucka indian,1
rs first,0
fckng toxic carry,1
try ur best,0
what a loser,2
sorry in advance ,0
who this gay,2
i don t give a fuck,1
would u play     yamsum,0
useless carry,2
play like fk dog scare the sh i,2
that s what friends are for,0
i just died to fire that doesnt move,0
only adjust for ti players,0
this team is all retarded,2
retarded shits,2
he is gay,2
how spirit fuck all your teams,1
teamo,0
you missed out on a goodnight kiss lmao what a loser,2
less toxic,0
report burrudge,0
haha shit slark ,2
fuck off from my team,1
then somehow,0
cmnd ember,0
try not to suck this time qop,0
then you end,0
this   faking core with stupid item build,2
something la tu,0
fcking thor,1
you are the one whos crying,0
i wont be with,0
then noob,1
imagine that,0
report clinkz,0
fucking lowrank,1
holy based its ccnc,0
and we can,0
his parents were actual persian cousins that were already the product of some very fucking serious incest,2
you tennis fuck,2
why you ban ember,0
what is this ban,0
stack reports on dusa ,0
crazy,0
i love how they were talking shit to me at pick phase,1
  cary ,0
oh ya the ol typical blame teammate for dying bullshit,1
can you see that im doom,0
comeback,0
he cry ,0
report od,0
boring,0
obviously  the idiot tank died first,2
not carry idioat,1
thx for wait,0
please aim io,0
that s all am can do ,0
you need loving,0
she might be in ur next game,0
she did doggy style last night,2
fuckin hope not,1
please,0
pl is shit,2
naga    go eat a bag of dicks,2
told u about this build le,0
that s all i can say,0
give us a min if possible but its jus a game   holy shit nuggets,1
hey legion,0
we pushed this series back    mins jsut for you to be able to paly,0
lo west race of earth,2
the pussy ds pick  d ,2
fuck jhames,2
have you read the stormlight archive ,0
third world huh  ,0
trash team,2
fuck off idio,2
fucking cucks,2
shut your mouth jabroni,1
so fucking useless supports,2
bro ur so fking bad crusaders rofl,1
repport wynter,0
f dog spec have ulti and aga,2
they literally,0
report these mtfckin as   holes support roles  ,2
really trash,2
pick something you muppet,2
oh crap ,0
leave him alone,0
hey they added a button to lifesteal aura,0
 st time win with meepo,0
retard cunt undying,2
bouty pos   ,0
is off the charts,0
why not,0
die or cry ,0
its fine ,0
team nb,0
dont waste my time on this shit,1
thanks,0
truly idiot,2
tilted ass,1
they want luna to abandon,0
maybe people should stop aprty when its not a thing,0
weak ass country,2
youre a little bitch irl,2
party with toxic,0
i randomed this shit in mid and still won,1
fuck your mum wid your language,2
onmce again,0
i shot myself in the head after that game so im a whole new person now,0
strong  tinker is also in the game  energy,0
he dling some heavy ass porn,2
fully rtard,1
since my mid laner is retarded,2
thats so hot,0
shitty cop tho,1
in chinese server,0
because he s not a fucking nerd,1
ty sf,0
rapier wont help feed yes,0
whats up,0
its a cum black,1
you think you can win ,0
play rubik or ill fist my asshole,1
any sup  ,0
he is your bitch es,2
i know babi only,0
sir le cock of roachith,0
i just think top lanes funny,0
rubick go your mmr,0
he comin back,0
take it easy pa   trash is trash,1
imagine picking bat mid then losing this hard jesus,0
qop do you ever stop whining,0
good aiming supp first,0
ever been called morons ,1
and end fast,0
end this,0
found yua,0
its ok pretty free game,0
so boring pudge,0
he got banned,0
go feed tonce,0
sucker oracle,2
this idiots cant play,2
this slardussy aint shit bro,1
but my sup can,0
exactly    slotted,0
you just got raped under tower,2
some how,0
you should stop trying to kill me my stupid friend,1
hard support,0
he s a son of whore,2
my love we meet again,0
its both good xd,0
lol carried by a shitty tinker spammer and our throw,1
pre sure silencer is baked,0
i smashed u near the bed,0
thats like the most retarded team u can make,1
which piece of dog ,2
dud he acc buyer and fk dop game,1
my team does not seem to udnerstand the concept of outpick,0
son of the bitfhes,2
but dog cant play,2
itchy,0
then dying,0
son of a bnitch,2
gl to whoever gets drow next,0
and u just mad for losing mid xd,0
fuck you talk too much,1
and we walk like idiot,1
with u mommy,0
the fk,1
go throne,0
name checks out,0
fuck this od smurf ,1
  cores btw,0
why,0
thank u,0
tinker booster in my team,0
watch replay autisty,2
fuck you too mate,2
why,0
watch me rape this game,2
dumbass trash,2
of,0
sniper is a pussy,2
yes but you will lose  ,0
waste of tiem,0
tb is the carry nbot me clowns,2
items,0
like they re fucking trying to lose,1
havent played morph in   months be nice pls,0
throne,0
nice throws,0
to make yourself,0
windranger is still in my mum,2
let tip ns for his decision to chase a pos   and let his pos   died,0
when u target me you re just inting,0
hate this am,1
you are shit,2
there s only me,0
whos dead again,0
good thing sk carrying us,0
sorry my dick was in usb port,1
can throne,0
dark willow is perfectly balanced hero ,0
he just learned them at school this week,0
really now,0
imgine thinking this pango must tlak shit,1
we will succumb to you if you send us more weapons to ukraine,0
this ghuy tilted af,1
for that i m not stupid shit,1
u bait me to this shit ab   ,1
   sorry wraith,0
got a turtle neck happening,0
i play with   dog,2
   ripbozo rest in piss you won t be missed     ,2
u fucking trash,2
sven support that mother fk,1
kill thm all guys,0
how we cumming back ,1
if he lets us end  ,0
  sups you want me play with drow ranger fu,2
and bm,0
thatswhy i   k,0
china acc buyer mid,2
first lose ,0
a common noob,1
   how much the score now coz if i remebered u got own in first game,0
morphlp,0
who im dire or radiant   ,0
fair  we usually have that problem,0
if u have it,0
rtard leave me on line and go farm jungle and now blame me xd so rtarded peoples playing this gaem,2
wanted to eat a horse,0
and you lose to my mid,0
rep lich,0
he can use it before   ,0
drow s logic be like  i know im the lowest rank here but u guys must adjust for me ,0
check onlyfans,0
muted,0
go kill that mf at top,1
what,0
mad cause backseat driving while farming as a supp,0
useless core,2
this teem,0
the fuck,1
nope why ,0
break ur hand or brain,0
i wanna   throw,0
than u think,0
for why ,0
party with rage only,0
china team ,0
fuck this team,2
actyually,0
fat cock,1
why the hell,0
a bit rude innit,0
why u dont listen ,0
  vs   and this noob offlane stil bark,1
can all of you shut the fuck up  you ruining my mojo,1
thats my dream too,0
what  scared ,0
its so ,0
why didnt u come to fountain mate ,0
took the kill,0
and you play with left hand mouse  right hand keyboard  blindfolded,0
fucking bums,2
who tell you that im joking ,0
fuk clownb,1
why,0
wtf is your move speed,1
ofc i will farm  im meepo,0
that noob shit,2
see bara you were shit as omni before and now as bara,1
report io,0
i fedding on ur mothers tits rn medusa,2
stick top  ,0
no way  he rocks,0
we ve all been there haha,0
stand and fight then bitch,1
sf just constantly yelling,0
at the side,0
son of whore,2
play more gay heros,2
would you rather bang or gain     mmr ,1
 idiot teamm,2
fucking shit ember,2
sandwich dishwasher bitch,2
and u turned all dark wtf,1
fuck off,1
shut up  stupid boy,2
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
lmao you literally talked shit,1
any mid players or pos   ,0
enddddd the fucking game,1
stack reports on lycan,0
got tumor on his brain this primal,2
puysh and end it,0
ofc,0
report clinkz,0
fuck this guy ,2
gpo with eam,0
i dont waste argue with newplayer noob,1
this time team has decided not to chase uselessly  when it might ve got kills,0
gotta be shitting with all those first hit bashes,1
they fuckin sleeep,1
what a shtiy dog hes,2
shrimple as,0
rpeort nec,0
mucho es mi invoker ,0
i m noob ,1
wasting time ,0
  morons atacking pudge non stop,1
how your farm is going  ,0
not with zaika in team pls ,0
cmre,0
it is indeed his phrase,0
fucking trio,1
dickhead,2
our wk is more of a dumbass,2
this guys sucks,2
he cum he came   sec,0
lol what,0
why is gyro top,0
not about it,0
you dont know gihapon means ,0
really,0
  son of whores,2
shitmy pants there,2
putin sucks cocks,2
lycan too much youtube,0
any one puta,2
this is just a gaaame bruh,0
rubbik u landed more fk hooks than this pudge,0
can you actually have mercy,0
fuck ythis team,2
go fuck yourself mk,2
use it tmororow la,0
we found him on the street,0
but dont know aghs can make her invi,0
with puck and jugger and bh,0
what a fcking awful players,1
tanga slark,2
 bot farming,0
  hero   shot,0
of yoru fucking  k team,2
no more wr,0
where lina,0
can yall cast shit on me,1
q too long otherwise,0
i was     this idiot took xp in lane ,2
i wouldve done the same,0
like wtf,1
we have idiot,2
this am really stupid,2
you realize you saying that,0
what a battle,0
you are trash,2
wp team,0
but dogshit carry,2
ty  g ,0
chinese inbred,0
shut the fuck up kokz,2
like ur mum,2
and he doesnt know how to fucking push,1
please,0
seems we both used shit on a support,1
go throne pls,0
thats my chinese mid,2
fuck off,1
its dumb that he can feed all game but then suddenly hit a spike and this shit happens,1
doing the inside job,0
worth,0
report this stupid fish pls,2
tryhard bois,0
a pro player,0
haha son of whore,2
repport fast,0
the bashhh,0
its a game,0
stop pausing the game,0
annoying dog barking from wk s mic,2
the useless enigma is feeling him self,2
in my cock,1
what are u idiot ,1
hurry up and fight bro,0
just imagine we are all tipping you,0
cm thinks trans people struggle,0
why did muthu just send me a butter chicken recipe on pintrest ,0
math is not mathing,0
dont ply io ,0
hes too dumb to even play wk,2
choose to kill bat for roshan,0
he doesnt even need to be exact he be throwin after i grabbed the wis rune i dont even know he be wantint that ,0
i thought u were afk dog,1
and starts crying when people bm him back,0
 i hope u can win me,0
this is my game,0
last time i stood in vs ur team jemo  you ended up being short of a pos   player,0
so soft ah this pango,0
your welcome,0
i would literally fucking remind you you are happy at   k a year with inflation,1
rompe items,0
nice one,0
dfestory my items when spwaning,0
son of slut,2
baited,0
holy fucking shit,1
only dog shits,1
farty diaper,0
i hope whoever sees you in ranked picks tinker and mega fucks you,2
steal my dick pls  i m a virgin,1
that u won this game,0
a powerfull hero with nob hand,1
sry bro not personal,0
